PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
AC,44109271,ACE,ongoing,Pending,true,AC,19951113,20991231,20991231,Purchase,P,RB805010001669394462,,,19980617,19980617,1,175.06,,Oxford studies in ancient philosophy.,,0265-7651,library note: print; fund name: S-PHIL-2022; vendor note: //Begin v.16 (1998)- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44065255,ACE,ongoing,Pending,true,AC,19950629,20991231,20991231,Purchase,P,RB805010001221470008,,,19980319,19980319,1,149.47,,Commentaire.,,0180-8214,library note: print; fund name: S-POLI-2022; vendor note: //Begin 1999- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44987274,ACH,ongoing,Pending,true,AC,20040408,20991231,0,Purchase,P,,,,20040408,20090827,1,51.50,,Streichquartette / Joseph Haydn ; nach den ältesten Abschriften herausgegeben von Georg Feder in Ve,"Haydn, Joseph, 1732-1809.",,library note: Music Librarian; fund name: F-GEN-2011,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,120178,ACYSO,ongoing,Pending,true,AC,0,0,0,Purchase,P,id: 15863,,"McNutt, Dunstan C.",20140605,20140605,1,91.33,,"Papers of John Adams / Robert J. Taylor, editor ; Mary-Jo Kline, associate editor ; Gregg L. Lint, a","Adams, John, 1735-1826.",,library note: papers of (ie series III of bigger set); fund name: F-SO-2022; vendor note: begin with v. 16 and continue until complete,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,44124934,ACE,ongoing,Pending,true,AC,19950614,20991231,20991231,Purchase,P,RB805010001888922762,,,19980713,19980713,1,58.30,,Theory and practice.,,0741-6156,library note: print; fund name: S-MUSIC-2022; vendor note: //Begin v.22 (1997)- and renew.,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44113122,ACE,ongoing,Pending,true,AC,19950725,20991231,20991231,Purchase,P,RB805010001717133607,,,19980624,19980624,1,186.91,,Print quarterly.,,0265-8305,library note: print; fund name: S-ART-2022; vendor note: //Begin v.16 (1999)- and renew.,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44122275,ACEAST,ongoing,Pending,true,AC,19950926,20991231,20991231,Purchase,P,,,"Rabinowitz, Stanley J.",19980708,19980708,1,166.84,,Sovremennai͡a dramaturgii͡a.,,0207-7698,library note: print ; budget changed to S-Russ in 2018 per SS; fund name: S-RUSS-2022; vendor note: //Begin 1999- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,4481494X,ACE,ongoing,Pending,true,AC,19950411,20991231,20991231,Purchase,P,RB805010001340252618,,,20030312,20030312,1,148.72,,Flash art.,,0394-1493,"library note: print; fund name: S-ART-2022; vendor note: //begin v.36, no.228 (Jan/Feb 2003)- and renew",Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44119720,ACE,ongoing,Pending,true,AC,19950808,20991231,20991231,Purchase,P,RB805010001827605015,,,19980706,19980706,1,58.30,,17th century music.,,1054-6022,library note: print; fund name: S-MUSIC-2022; vendor note: //Begin Oct. 1998- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44257557,ACCOLUP,ongoing,Pending,true,AC,19990613,20991231,0,Purchase,P,,,,19990613,19920320,1,103.00,,"The Documentary history of the Supreme Court of the United States, 1789-1800 / with a foreword by Wa",,,library note: Reference Librarian; fund name: F-GEN-2011,Independent order and receipt quantity,True,False,physical,Book,,,,
AC,44081455,ACE,ongoing,Pending,true,AC,19951024,20991231,20991231,Purchase,P,RB805010001390926665,,,19980422,19980422,1,100.36,,Herder yearbook.,,1062-3582,library note: print; bill later; fund name: S-GERM-2022; vendor note: //Begin issues published 1999- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
AC,44124661,ACE,ongoing,Pending,true,AC,19950504,20991231,20991231,Purchase,P,RB805010001859289001,,,19980710,19980710,1,106.01,,Studies in iconography.,,0148-1029,library note: print; fund name: S-ART-2022; vendor note: //Begin v.17- and renew,Independent order and receipt quantity,True,True,physical,Serial,,,,
