PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
HC,6793,HCAMZZ,one-time,Closed,False,HC,0,0,0,Purchase,P,,,,20090714,20090714,1,15.00,,Womanrise / [edited by Louis Reyes Rivera],,0917886054,order group: BV; library note: replacement for worn copy (on repair shelves). cancelled order and decided to bind our copy; fund name: REPA-2010,Synchronized order and receipt quantity,True,False,physical,Book,Cancelled,Library Cancelled 20090918,fully paid,fully received
HC,66008141,HCEBSS,ongoing,Closed,False,HC,20080101,20081231,0,Purchase,C,RB8050800AA492545009,,,19940701,20071001,1,171.68,,The Journal of popular film and television : JPF & T.,,0195-6051,order group: BV; library note: bv; fund name: PERBS-2008,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20080925,fully paid,fully received
HC,66007690,HCEBSS,ongoing,Closed,False,HC,20090801,20100731,0,Purchase,P,RB8050800AA440336444,,,19940630,20071001,1,55.38,,International family planning perspectives.,,0190-3187,order group: DS; library note: civs -- ds; e_note: 08/2007-07/2008 -- civs; fund name: CIVS-2010,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20091030,fully paid,fully received
HC,10018,HCWOLS,ongoing,Pending,true,HC,20110101,20111231,0,Purchase,P,257885,,,20101027,20101027,1,247.54,,Camera obscura.,,0270-5346,order group: BV; library note: bv; Changing to online only for 2020.; 2021-07-23 Collection Dev Mtg - Renew; e_note: Price updated per Prenax site 2021-10-12 jlb; fund name: PERCPROPE-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
HC,66006703,HCEBSS,ongoing,Closed,False,HC,20090101,20091231,0,Purchase,P,RB8050800AA171725013,,,19940630,20071001,1,151.58,,Camera obscura.,,0270-5346,order group: BV; library note: bv; fund name: PERCPROPE-2022,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20101027,fully paid,fully received
HC,6604876X,HCBATS,ongoing,Closed,False,HC,0,20061231,0,Purchase,P,,,,19960717,0,1,0.00,,FAO trade yearbook = Annuaire FAO du commerce = Anuario FAO de comercio.,,0071-7126,order group: HS-NS; library note: hs,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20070213,fully paid,fully received
HC,66017920,HCBERS,ongoing,Closed,False,HC,0,20061231,0,Purchase,P,,,,19941122,0,1,0.00,,World military expenditures and arms transfers / U.S. Arms Control and Disarmament Agency.,,0897-4667,library note: ds  Price is for 1991-92,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20070213,fully paid,fully received
HC,66008542,HCEBSS,ongoing,Closed,False,HC,20080101,20091231,0,Purchase,C,RB8050800AA576965552,,,19940701,20071001,1,70.67,,Millennium film journal.,,1064-5586,order group: BV; library note: bv; fund name: REPS-2009; vendor note: cancelling effective 12/2009,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20080814,fully paid,fully received
HC,66235649,HCBERS,ongoing,Closed,False,HC,20080101,20081231,0,Purchase,P,,,,20041029,20070926,1,1.00,,"Handbook of North American Indians / William C. Sturtevant, general editor.",,,order group: CP; library note: 8.15.13 - set to LC - not sure why it wasn't done before.; e_note: v.3 rec'd 4/3/2007; v.2 rec'd 7/31/2008; fund name: PERCPROP-2014,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20130815,fully paid,fully received
HC,10255,HCWOLS,ongoing,Pending,true,HC,0,0,0,Purchase,P,,,,20101101,20130703,1,27.67,,In these times.,,0160-5992,order group: CP; library note: [X-SEP21] 2021-07-23 Collection Dev Mtg - Let Expire (access via ProQuest); fund name: PERCPROP-2022,Independent order and receipt quantity,True,True,physical,Serial,,,,
