PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
HC,10018,HCWOLS,ongoing,Pending,true,HC,20110101,20111231,0,Purchase,P,257885,,,20101027,20101027,1,247.54,,Camera obscura.,,0270-5346,order group: BV; library note: bv; Changing to online only for 2020.; 2021-07-23 Collection Dev Mtg - Renew; e_note: Price updated per Prenax site 2021-10-12 jlb; fund name: PERCPROPE-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
HC,10201,HCWOLS,ongoing,Closed,False,HC,20110101,20111231,0,Purchase,P,258139,,,20101028,20101028,1,20.79,,Workers vanguard.,,0276-0746,order group: DS; library note: 2021-07-23 Collection Dev Mtg - Let Expire (publication suspended indefinitely); includes Spartacist 4 (publ behind sched) AND Black history and the class struggle; print only; fund name: PERCPROP-2022,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20210929,fully paid,fully received
HC,10006,HCWOLS,ongoing,Closed,False,HC,20110101,20111231,0,Purchase,P,,,,20101027,20120710,1,76.64,,The Atlantic monthly.,,1072-7825,order group: CP; library note: 2021-06-11 LM Info not offering print any longer (must order direct from publisher; we've decided not to for now.) jlb; fund name: PERCPROP-2020,Independent order and receipt quantity,True,True,physical,Serial,Vendor Cancelled 20210611,Vendor Cancelled 20210611,fully paid,fully received
HC,10228,HCWOLS,ongoing,Closed,False,HC,20110101,20111231,0,Purchase,P,258108,,,20101028,20110921,1,52.50,,Salmagundi.,,0036-3529,order group: BV; library note: Cancelled 5.20.19 per librarians; bv; fund name: PERHACU-2019,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20190520,fully paid,fully received
HC,10200,HCWOLS,ongoing,Pending,true,HC,20110101,20111231,0,Purchase,P,258138,,,20101028,20101028,1,417.34,,Women & performance : a journal of feminist theory.,,0740-770X,order group: SS; library note: 2021-07-23 Collection Dev Mtg - Renew; print and free online; e_note: Price updated per Prenax site 2021-10-13 jlb; fund name: PERCPROP-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
HC,11214,HCWOLS,ongoing,Pending,true,HC,20110217,20120216,0,Purchase,P,266226,,,20110217,20110217,1,90.09,,Cultural survival quarterly.,,0740-3291,order group: DS; library note: 2021-07-23 Collection Dev Mtg - Renew (NAIS program); Switched to END-GLOS for FY20 per librarians; print and free online; fund name: PERCPROPE-2022,Independent order and receipt quantity,True,True,electronic,E-Journal,,,,
HC,66011826,HCHAMS,ongoing,Pending,true,HC,20081213,20091212,20991231,Purchase,P,,,,19940802,20071004,1,280.28,,Daily Hampshire gazette.,,0739-3504,order group: CP; library note: cp; price dropped in FY15 - called publisher to check & they said the price was fine; fund name: PERCPROP-2022,Independent order and receipt quantity,True,True,physical,Serial,,,,
HC,10177,HCWOLS,ongoing,Closed,False,HC,20110101,20111231,0,Purchase,P,,,,20101028,20101028,1,193.64,,Sculpture.,,0889-728X,order group: SS; library note: ss; cancelled 5.10.19 per librarians; fund name: PERSS-2019,Independent order and receipt quantity,True,True,physical,Serial,Cancelled,Library Cancelled 20190510,fully paid,fully received
HC,14085,HCNRLS,ongoing,Closed,False,HC,0,0,0,Purchase,P,,,,20121205,20121205,1,0.00,,Resources in education / Educational Resources Information Center.,,0098-0897,"order group: CP; library note: ERIC - part of CSA Social Science Package, order #14084",Independent order and receipt quantity,True,True,electronic,Database,Cancelled,Library Cancelled 20200817,fully paid,fully received
HC,20845,HCPRQS,ongoing,Pending,true,HC,0,0,0,Purchase,P,,,,20200908,20200908,1,0.00,,Resources in education / Educational Resources Information Center.,,0098-0897,order group: CP; library note: New order for vendor change to PRQS. Comes with PQ Social Science Premium Collection #17602.,Independent order and receipt quantity,True,True,electronic,Database,,,,
