PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
SC,176729,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20211020,20211020,21,188.79,,"DISCWORLD SERIES, VOL.1-21.","Pratchett, Terry.",,"order group: NOCAT; library note: HOUSE BOOK. Duckett. v.1-21 of series. Volumes will likely arrive separately. Do not cat, place on shelves for sorting/deliver.; fund name: X29-2022",Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,176728,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20211020,20211020,21,188.79,,"DISCWORLD SERIES, VOL.1-21.","Pratchett, Terry.",,"order group: NOCAT; library note: HOUSE BOOK. Chase. v.1-21 of series. Volumes will likely arrive separately. Do not cat, place on shelves for sorting delivery.; fund name: X29-2022",Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,176559,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,C,,,"Wong, Marlene",20211014,20211014,2,189.98,,TWILIGHT SAGA 6 BOOK SET.,"MEYER, STEPHENIE",9789124019280,"order group: NOCAT; library note: HOUSE BOOK. Sessions, Washburn (2 copies, 6 vol set each). Ordered from two different Amazon locations, so 2 sets will likely arrive separately. Do not cat, place on shelves for sorting/delivery.; fund name: X29-2022",Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,11176209,SCHARRA,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,96153827,,,19780821,19780821,1,131.37,,Marburger Jahrbuch für Kunstwissenschaft.,,0342-121X,library note: Art Dept.; e_note: saper  print only format available per OTTO (08/2017 gkm); fund name: ARTSE-2022; vendor note: customer #2779,Independent order and receipt quantity,True,True,physical,Serial,,,,
SC,11120915,SCPRIND,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,S-5654 ; MD-01379,,,19980521,19980521,1,159.00,,Mārg̲ = Pathway.,,0025-2913,library note: Art Dept.; e_note: saper; fund name: ARTSE-2022; vendor note: Begin with v.50 and continue,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11179752,SCGOBI,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19790611,20170719,1,55.00,,Minnesota studies in the philosophy of science.,,0076-9258,library note: Philosophy Dept.; e_note: snstk; fund name: PHICO-2022; vendor note: Please supply vol. 20 and foll,Independent order and receipt quantity,True,False,physical,Serial,,,,
SC,12077239,SCGIFT,ongoing,Pending,true,SC,0,20991231,0,Gift,C,,,,19900101,19900101,1,0.00,,Muse.,,0077-2194,"library note: Art Library; e_note: saper gift of Museum of Art and Archaeology, University of Missouri under SCMA exchange program.",Independent order and receipt quantity,True,True,physical,Serial,,,,
SC,11510985,SCGIFT,ongoing,Pending,true,SC,0,20991231,20991231,Gift,C,,,,19800513,19800513,1,0.00,,National right to work newsletter.,,,"library note: Hannon, C; e_note: snper Gift of National Right to Work Committee",Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11607907,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,C,,,,19950701,20061115,1,0.00,,The New York times magazine.,,,library note: Public Services; e_note: snpro rec'd with Sunday edition of New York Times (11146187),Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11196087,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA691848010,,,19920402,19920402,1,192.32,,Philosophy today.,,0031-8256,"library note: Philosophy Dept.; e_note: snper  with 2015, switched to p+o; fund name: PHISE-2022",Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11123461,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA703569004,,,19670101,19670101,1,41.36,,Poetry northwest.,,0032-2113,library note: English Dept.; e_note: snper; fund name: ENGSE-2022,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11169357,SCGOBI,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19780320,19780320,1,45.21,,Psychological issues.,,0048-5748,order group: CAT SEP; library note:  Psychology Dept. / Record vols. on Arrival form; e_note: sscsk; fund name: PSYCO-2022; vendor note: Please begin SO with Vol. 64 and following...,Independent order and receipt quantity,True,False,physical,Serial,,,,
SC,11130994,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA775437445,,,19780526,19780526,1,438.12,,Revue d'assyriologie et d'archéologie orientale.,,0373-6032,library note: History Dept.; e_note: snper  print only format available per Ebsconet (08/2012 gkm); fund name: HSTSE-2022,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11131044,SCHARRA,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,96500322,,,20031125,20031125,1,135.73,,Revue des études grecques.,,0035-2039,library note: Classics Dept.; e_note: snper  print only format per OTTO (08/2018 gkm).; fund name: CLSSE-2022; vendor note: customer #2779,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11089398,SCOLSCH,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19890127,19890127,1,457.50,,Rinascimento : rivista dell'Istituto nazionale di studi sul Rinascimento.,,0080-3073,library note: History Dept.; e_note: snstk; fund name: HSTSE-2022,Independent order and receipt quantity,True,True,physical,Serial,,,,
SC,11083062,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA826104450,,"Wong, Marlene M.",19910101,19910101,1,115.75,,Rivista italiana di musicologia.,,0035-6867,"library note: Music Dept.; e_note: sjper  p + o (only format) / online is user name /password only, thus not set up.; fund name: MUSSE-2022",Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11804658,SCCASAL,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19961106,19961106,1,143.66,,Saggi e memorie di storia dell'arte.,,0392-713X,order group: 5; library note: Art Dept.; e_note: saper  invoice comes with piece; fund name: ARTCO-2022,Independent order and receipt quantity,True,False,physical,Serial,,,,
SC,11178796,SCGOBI,ongoing,Pending,true,SC,20070101,20991231,20991231,Purchase,P,815692009,,,19910510,19910510,1,72.68,,Shakespeare studies.,,0582-9399,library note: English Dept.; e_note: snstk; fund name: ENGSE-2022,Independent order and receipt quantity,True,True,physical,Serial,,,,
SC,11137423,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA857416006,,,19931015,19931015,1,381.18,,Studi francesi.,,0039-2944,library note: French Dept.; e_note: snper   print is only format available per Ebsconet (08/2016 gkm) ; 02/201 3announced to becoming available in p + o; fund name: FRNSE-2022; vendor note: for 2015 cancel with Harra / reorder with Ebsco,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,1169547X,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,C,RB5080300AA890356009,,,19670101,20061208,1,0.00,,The Thoreau Society bulletin.,Thoreau Society.,,"library note: Sajdak, B / English Dept.; e_note: snper Comes with Thoreau Society Membership, 11138786",Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11194819,SCWILEY,ongoing,Pending,true,SC,0,20991230,20991231,Purchase,P,,,,19750626,20100628,1,0.00,,Topics in stereochemistry.,,0082-500X,library note:  Chemistry dept.; e_note: sscsk; fund name: CHMCO-2022,Independent order and receipt quantity,True,False,physical,Serial,,,,
SC,12113621,SCGIFT,ongoing,Pending,true,SC,0,20991231,20991231,Gift,C,,,,19880101,19880101,1,0.00,,New publications of the Geological Survey / United States Department of the Interior.,Geological Survey (U.S.).,,library note:  Docs. Librarian; e_note: ssnma; vendor note: Gift of agency,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,12173630,SCROWAN,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19910510,19910510,1,152.72,,"United States statutes at large / compiled, edited, and indexed by authority of Congress under the d",United States.,0083-3401,library note: Government Documents; e_note: snstk; fund name: NESER-2022; vendor note: account #0000200077,Independent order and receipt quantity,True,True,physical,Serial,,,,
SC,12088626,SCCASAL,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,,,,19910125,19910125,1,126.72,,La Biennale di Venezia.,"Biennale di Venezia (Venice, Italy)",0006-2162,library note: Art Dept.; e_note: sastk; fund name: ARTCO-2022; vendor note: Standing order to begin with #47 and continue,Independent order and receipt quantity,True,False,physical,Serial,,,,
SC,67447,SCEBSCO,ongoing,Pending,true,SC,20110201,20991231,20991231,Purchase,P,RB5080300AD937592004,,"Hannon, Christine G.",20101217,20101217,1,35.10,,Vogue.,,0042-8000,library note: Friends' Reading Room subscription; e_note: snfrr; fund name: NESER-2022,Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,11626768,SCEBSCO,ongoing,Pending,true,SC,0,20991231,20991231,Purchase,P,RB5080300AA510162506,,"Rhie, Marylin Martin",19950907,19950907,1,183.02,,Korea journal.,,0023-3900,"library note: East Asian Studies Program; e_note: snper   p + o  [activated in SFX as 'free online""]; fund name: EASSE-2022",Independent order and receipt quantity,True,True,physical,Journal,,,,
SC,178477,SCAMALIV,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Fulton, Dawn",20220218,20220218,1,28.00,,"Tropiques toxiques : le scandale du chlordécone / scénario, Jessica Oublié ; dessin, Nicola Gobbi","Oublié, Jessica, 1983- author.",9782365695381,library note: HOLD for Dawn Fulton; e_note: 22.00 EUR; fund name: FRNBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178478,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Fulton, Dawn",20220218,20220218,1,32.25,,Les nouveaux maîtres de la parole créole / sous la direction de Diana Ramassamy ; [photographies d,,9782357202658,library note: HOLD for Dawn Fulton; fund name: FRNBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178613,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20220301,20220301,1,57.50,,"Ten voluntaries : for the organ or harpsichord, op. 5 / John Stanley ; herausgegeben von Eberhard Ho","Stanley, John, 1712-1786.",,fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178591,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Buettner, Brigitte",20220223,20220223,1,33.99,,Gothic : an illustrated history / Roger Luckhurst.,"Luckhurst, Roger, author.",,library note: HOLD for Brigitte Buettner; fund name: ARTBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178479,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Fulton, Dawn",20220218,20220218,1,29.96,,Le Voyage en Chine : anthologie des voyageurs occidentaux du Moyen Age à la chute de l'empire chino,,9782221064313,library note: HOLD for Dawn Fulton; fund name: FRNBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178509,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Huang, Charles",20220222,20220222,1,18.95,,"Sonate für Oboe (Flöte), Cembalo und Viola da Gamba (ad lib.), g-Moll / Johann Sebastian Bach ; zu","Bach, Johann Sebastian, 1685-1750.",,library note: Ntfy Charles Huang; fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178510,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Sun, Jiayan",20220222,20220222,1,25.00,,An American mosaic : for solo piano (2020) / Richard Danielpour.,"Danielpour, Richard.",,library note: Ntfy Jiayan Sun; fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178512,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"DeLugan, Kate",20220222,20220222,1,28.00,,Into a woman's lunacy : for soprano (2021) / Yi-Ning Lo.,"Lo, Yi-Ning, 1995-",,library note: Ntfy Kate DeLugan; fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178513,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20220222,20220222,1,90.00,,Clavier-b|chlein f|r Wilhelm Friedemann Bach = notebook for Wilhelm Friedemann Bach (1720) / Johann,"Bach, Johann Sebastian, 1685-1750.",,fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178522,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20220222,20220222,1,34.99,,Piano album III / David Del Tredici,"Del Tredici, David, composer.",9781705152386,fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
SC,178592,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,SC Neilson Reserves Group,20220223,20220223,1,35.95,,Writing in the biological sciences : a comprehensive resource for scientific communication / Angelik,"Hofmann, Angelika H., 1965-, author.",,library note: HOLD for SC Neilson Reserves (BIO 202); fund name: BIOBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178596,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,SC CMP Streaming,20220224,20220224,1,20.52,,Watchmen : an HBO limited series / created for television by Damon Lindelof.,,,library note: HOLD for SC CMP Streaming (FYS 198); fund name: FLSBK-2022,Synchronized order and receipt quantity,True,False,physical,DVD/Blu-ray,,,pending,pending
SC,178502,SCAMZPUN,one-time,Pending,true,SC,0,0,0,Purchase,P,,,SC Neilson Reserves Group,20220221,20220221,1,51.82,,A companion to Marx's Capital / David Harvey.,"Harvey, David, 1935-",,library note: HOLD for SC Neilson Reserves (GOV 273); fund name: GOVBK-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
SC,178614,SCTFMUL,one-time,Pending,true,SC,0,0,0,Purchase,P,,,"Wong, Marlene",20220301,20220301,1,27.99,,Red (Taylor's version) / Taylor Swift.,"Swift, Taylor.",9781705157817,fund name: MUSBK-2022,Synchronized order and receipt quantity,True,False,physical,Score,,,pending,pending
