PONUMBERPREFIX,PONUMBER,VENDORCODE,ORDERTYPE,WORKFLOWSTATUS,REENCUMBER,ACQUNITIDS,SUBSCRIPTIONFROM,SUBSCRIPTIONTO,RENEWALDATE,ACQUISITIONMETHOD,PAYMENTSTATUS,REFERENCENO,ORDERFORMAT,REQUESTOR,Z68_OPEN_DATE,Z68_ORDER_DATE,QUANTITYX,LISTUNITPRICE,Z68_ORDER_STATUS_DATE_X,Z13_TITLE,AUTHOR,Z68_ISBN,notes,checkinItems,manualPo,isSubscription,orderFormat,materialType,closeReason,closeReasonNote,paymentStatus,receiptStatus
UM,20223376,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,seller,,UMDUB RESERVE PATRON,20220228,20220228,1,42.00,,La hija de un ladrón / una producción de Oberon Cinematográfica y BTeam Pictures; dirigida por Be,,,"library note: Need by April 6th, RESERVES, Molla, SPANISH597T; paid by RA credit card; fund name: RESRV-2022",Synchronized order and receipt quantity,True,False,physical,DVD/Blu-ray,,,pending,pending
UM,20223378,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,BookDepositoryUS seller,,,20220228,20220228,1,37.50,,Autobiografia / José Luís Peixoto.,"Peixoto, José Luís, 1974-, author.",9789897224591,"library note: GIVE TO ILL TO SHIP TO PATRON, ILL transaction #1675247;  paid by RA credit card; fund name: BODEM-2022",Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223443,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,AmazonDE,,,20220301,20220301,1,60.00,,Die Reise mit Bill / Matthias Schultheiss,"Schultheiss, Matthias, 1946- author.",9783940864055,library note: paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223449,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,AmazonDE,,,20220301,20220301,1,35.00,,"Wie ich versuchte, ein guter Mensch zu sein : Graphic Novel / Ulli Lust.","Lust, Ulli, 1967-",9783518468135,library note: paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223467,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,AmazonDE,,,20220301,20220301,1,30.00,,"Herr Bachmann und seine Klasse Buch, Regie, Schnitt: Maria Speth.",,,library note: paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,DVD/Blu-ray,,,pending,pending
UM,20223468,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,AmazonDE,,,20220301,20220301,1,20.00,,Ich bin dein Mensch = I'm your man / Bleecker Street und Südwestrundfunk präsentieren ; eine Lette,,,"library note: paid by RA credit card; (not sure about bib, accept what we get, should be dvd); fund name: MONOGRAPHS-2022",Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223469,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,,,,20220301,20220301,1,23.00,,"Synonymes = Synonyms / Saïd Ben Saïd et Michel Merkt présentent ; une coproduction SBS Films, Pie",,9786318069144,library note: paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,DVD/Blu-ray,,,pending,pending
UM,20223471,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,BookDepositoryUS,,"El-Hibri, Tayeb",20220301,20220301,1,130.27,,Hardship and deliverance in the Islamic tradition : theology and spirituality in the works of Al-Tan,"Khalifa, Nouha.",9781848851177,library note: NOTIFY: Tayeb El-Hibri telhibri@judnea.umass.edu; paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223473,UMABE,one-time,Pending,true,UM,0,0,0,Purchase,P,BookDepositoryUS,,"El-Hibri, Tayeb",20220301,20220301,1,362.33,,"In the Sultan's salon : learning, religion and rulership at the Mamluk court of Qāniṣawh al-Ghawr","Mauder, Christian, author.",,library note: NOTIFY: Tayeb El-Hibri telhibri@judnea.umass.edu; paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
UM,20223474,UMAMZN,one-time,Pending,true,UM,0,0,0,Purchase,P,,,"El-Hibri, Tayeb",20220301,20220301,1,180.39,,Muslim exegesis of the Bible in medieval Cairo : Najm al-Din al-Tufi's (d. 716/1316) commentary on t,"Ṭūfī, Sulaymān ibn ʻAbd al-Qawī, 1259?-1316.",,library note: NOTIFY: Tayeb El-Hibri telhibri@judnea.umass.edu; paid by RA credit card; fund name: MONOGRAPHS-2022,Synchronized order and receipt quantity,True,False,physical,Book,,,pending,pending
